score,class,case,Topic,Title,URL
10,neutral,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",Anonymity,"You can scrape the site, as long as it doesn't impact the server too much",https://edit.tosdr.org/cases/389
20,neutral,You are prohibited from attempting to gain unauthorized access to other computer systems,Governance,You can set guidelines for the use of your personal information after your death,https://edit.tosdr.org/cases/503
20,neutral,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,Content,You can‚Äôt close your account if an investigation is ongoing,https://edit.tosdr.org/cases/496
25,neutral,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",Content,You cannot delete your account of this service,https://edit.tosdr.org/cases/172
50,neutral,"You are responsible for any risks, damages, or losses that may incur by downloading materials",Guarantee,"You cannot delete your contributions, but it makes sense for this service",https://edit.tosdr.org/cases/394
10,neutral,You are responsible for maintaining the security of your account and for the activities on your account,Security,You cannot distribute or disclose your account to third parties,https://edit.tosdr.org/cases/229
40,bad,You are solely responsible for claims made against the service and agree to indemnify and hold harmless the service.,Governance,You cannot opt out of promotional communications,https://edit.tosdr.org/cases/224
50,bad,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",Trackers,You have a reduced time period to take legal action against the service,https://edit.tosdr.org/cases/151
50,good,You aren’t forced into binding arbitration in case of disputes,Dispute Resolution,You have the right to leave this service at any time,https://edit.tosdr.org/cases/170
50,neutral,You authorise the service to charge a credit card supplied on re-occurring basis,Payments,You have the right to request lower Charges from Third Party Providers,https://edit.tosdr.org/cases/309
10,good,You can choose the copyright license,User Choice,You maintain ownership of your content,https://edit.tosdr.org/cases/183
0,good,You can choose with whom you share content,User Choice,You must create an account to use this service,https://edit.tosdr.org/cases/230
50,good,You can delete your content from this service,Right to Leave The Service,You must provide your identifiable information,https://edit.tosdr.org/cases/409
10,good,You can opt out of promotional communications,User Choice,"You must provide your legal name, pseudonyms are not allowed",https://edit.tosdr.org/cases/214
25,good,You can opt out of targeted advertising,Advertising,You must report to the service any unauthorized use of your account or any breach of security,https://edit.tosdr.org/cases/484
50,good,"You can request access, correction and/or deletion of your data",User Choice,You shall not interfere with another person's enjoyment of the service,https://edit.tosdr.org/cases/285
40,good,You can retrieve an archive of your data,User Choice,"You should revisit the terms periodically, although in case of material changes, the service will notify",https://edit.tosdr.org/cases/329
70,blocker,You cannot delete your account of this service,Right to Leave The Service,You waive your moral rights,https://edit.tosdr.org/cases/118
20,neutral,"You cannot delete your contributions, but it makes sense for this service",Right to Leave The Service,You waive your right to a class action.,https://edit.tosdr.org/cases/117
10,neutral,You cannot distribute or disclose your account to third parties,Transparency,You will be notified about website maintenance,https://edit.tosdr.org/cases/159
30,bad,You cannot opt out of promotional communications,User Choice,You will be notified if personal data has been affected by data breaches,https://edit.tosdr.org/cases/391
50,bad,You have a reduced time period to take legal action against the service,Governance,Your account can be deleted or permanently suspended without prior notice and without a reason,https://edit.tosdr.org/cases/201
15,good,You have the right to leave this service at any time,Right to Leave The Service,Your account can be suspended for several reasons,https://edit.tosdr.org/cases/205
50,neutral,You have the right to request lower Charges from Third Party Providers,User Choice,Your biometric data is collected,https://edit.tosdr.org/cases/397
50,good,You maintain ownership of your content,Ownership,Your browser's Do Not Track (DNT) headers are respected,https://edit.tosdr.org/cases/383
50,good,You maintain ownership of your content,Ownership,Your browsing history can be viewed by the service,https://edit.tosdr.org/cases/395
25,neutral,You must create an account to use this service,Transparency,Your content can be deleted if you violate the terms,https://edit.tosdr.org/cases/377
20,bad,"You must provide your legal name, pseudonyms are not allowed",Anonymity,Your content can be distributed through any media known now or in the future,https://edit.tosdr.org/cases/139
10,neutral,You must report to the service any unauthorized use of your account or any breach of security,Security,Your content can be licensed to third parties,https://edit.tosdr.org/cases/134
25,bad,You shall not interfere with another person's enjoyment of the service,Content,Your data is processed and stored in a country that is friendlier to user privacy protection,https://edit.tosdr.org/cases/488
50,neutral,"You should revisit the terms periodically, although in case of material changes, the service will notify",Notice of Changing Terms,Your data is processed and stored in a country that is less friendly to user privacy protection,https://edit.tosdr.org/cases/411
50,blocker,You waive your moral rights,Ownership,Your feedback is invited regarding changes to the terms.,https://edit.tosdr.org/cases/119
50,bad,You waive your right to a class action.,Dispute Resolution,Your identity is used in ads that are shown to other users,https://edit.tosdr.org/cases/327
30,good,You will be notified about website maintenance,Guarantee,Your information is only shared with third parties when given specific consent,https://edit.tosdr.org/cases/296
60,bad,Your account can be deleted without prior notice and without a reason,Suspension and Censorship,"Your IP address is collected, which can be used to view your approximate location",https://edit.tosdr.org/cases/399
15,neutral,Your account can be suspended for several reasons,Suspension and Censorship,Your personal data is aggregated into statistics,https://edit.tosdr.org/cases/190
30,good,Your browser's Do Not Track (DNT) headers are respected,Trackers,Your personal data is not shared with third parties,https://edit.tosdr.org/cases/311
50,neutral,Your content can be deleted if you violate the terms,Suspension and Censorship,Your personal data is not sold,https://edit.tosdr.org/cases/193
50,neutral,Your content can be distributed through any media known now or in the future,Copyright License,"Your personal data is used for automated decision-making, profiling or AI training",https://edit.tosdr.org/cases/504
50,bad,Your content can be licensed to third parties,Copyright License,Your personal data is used for limited purposes,https://edit.tosdr.org/cases/196
50,bad,Your data is processed and stored in a country that is less friendly to user privacy protection,Personal Data,Your personal data is used to employ targeted third-party advertising,https://edit.tosdr.org/cases/220
25,bad,Your data may be processed and stored anywhere in the world,Personal Data,Your personal data may be disclosed to comply with government requests without notice to you,https://edit.tosdr.org/cases/164
30,good,Your feedback is invited regarding changes to the terms.,User Involvement in Changing Terms,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,https://edit.tosdr.org/cases/243
90,blocker,Your identity is used in ads that are shown to other users,Advertising,Your Personal data may be sold unless you opt out,https://edit.tosdr.org/cases/396
10,neutral,Your personal data is aggregated into statistics,Personal Data,Your personal data may be used for marketing purposes,https://edit.tosdr.org/cases/336
10,bad,This service gives your personal data to third parties involved in its operation,Third Parties,Your personal data will not be used for an automated decision-making,https://edit.tosdr.org/cases/480
30,bad,Your personal data is used for advertising,Advertising,Your personal information is used for many different purposes,https://edit.tosdr.org/cases/185
60,good,Your personal data is used for limited purposes,Personal Data,Your private content may be accessed by people working for the service,https://edit.tosdr.org/cases/189
50,bad,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,Business Transfers,Your profile is combined across various products,https://edit.tosdr.org/cases/326
40,bad,Your personal information is used for many different purposes,Personal Data,Your provided identifiable information is actively checked by the service,https://edit.tosdr.org/cases/492
30,neutral,Your private content may be accessed by people working for the service,Personal Data,Your use is throttled,https://edit.tosdr.org/cases/157
50,bad,Your profile is combined across various products,Anonymity,,
30,bad,Your use is throttled,Guarantee,,
30,good,Information is provided about what kind of information they collect,Transparency,,
30,good,A complaint mechanism is provided for the handling of personal data,Personal Data,,
50,blocker,"Your personal data is used for automated decision-making, profiling or AI training",Personal Data,,
20,good,The service does not use any third-party advertising services,Advertising,,
